"","Institution","Year","Month","use_of_force","inmate_count","uof_per_1000"
"217","CCI",2011,"Apr",28,5599,5.00089301661011
"218","COR",2011,"Apr",25,4923,5.07820434694292
"219","HDSP",2011,"Apr",16,4205,3.80499405469679
"220","KVSP",2011,"Apr",24,4613,5.20268805549534
"221","LAC",2011,"Apr",44,4353,10.1079715138985
"222","PBSP",2011,"Apr",22,3155,6.97305863708399
"223","SAC",2011,"Apr",35,2839,12.3282846072561
"224","SVSP",2011,"Apr",39,3811,10.2335345053792
"225","CCI",2011,"May",31,5729,5.41106650375284
"226","COR",2011,"May",23,4955,4.64177598385469
"227","HDSP",2011,"May",34,4223,8.05114847264977
"228","KVSP",2011,"May",40,4628,8.64304235090752
"229","LAC",2011,"May",36,4320,8.33333333333333
"230","PBSP",2011,"May",20,3082,6.48929266709929
"231","SAC",2011,"May",40,2840,14.0845070422535
"232","SVSP",2011,"May",58,3823,15.171331415119
"233","CCI",2011,"Jun",33,5626,5.86562388908638
"234","COR",2011,"Jun",16,4982,3.21156162183862
"235","HDSP",2011,"Jun",29,4255,6.81551116333725
"236","KVSP",2011,"Jun",46,4680,9.82905982905983
"237","LAC",2011,"Jun",34,4322,7.86672836649699
"238","PBSP",2011,"Jun",20,3134,6.38162093171666
"239","SAC",2011,"Jun",38,2850,13.3333333333333
"240","SVSP",2011,"Jun",37,3879,9.53854086104666
"241","CCI",2011,"Jul",36,5732,6.28053035589672
"242","COR",2011,"Jul",36,4876,7.383100902379
"243","HDSP",2011,"Jul",46,4241,10.8464984673426
"244","KVSP",2011,"Jul",48,4718,10.1738024586689
"245","LAC",2011,"Jul",40,4220,9.47867298578199
"246","PBSP",2011,"Jul",21,3212,6.53798256537983
"247","SAC",2011,"Jul",47,2837,16.5667959111738
"248","SVSP",2011,"Jul",43,3955,10.8723135271808
"249","CCI",2011,"Aug",31,5673,5.46448087431694
"250","COR",2011,"Aug",34,4888,6.95581014729951
"251","HDSP",2011,"Aug",33,4293,7.6869322152341
"252","KVSP",2011,"Aug",48,4699,10.2149393487976
"253","LAC",2011,"Aug",46,4290,10.7226107226107
"254","PBSP",2011,"Aug",9,3262,2.75904353157572
"255","SAC",2011,"Aug",34,2820,12.0567375886525
"256","SVSP",2011,"Aug",54,3937,13.7160274320549
"257","CCI",2011,"Sep",28,5701,4.9114190492896
"258","COR",2011,"Sep",23,5005,4.5954045954046
"259","HDSP",2011,"Sep",29,4292,6.75675675675676
"260","KVSP",2011,"Sep",36,4684,7.68573868488471
"261","LAC",2011,"Sep",28,4306,6.50255457501161
"262","PBSP",2011,"Sep",10,3272,3.05623471882641
"263","SAC",2011,"Sep",39,2851,13.6794107330761
"264","SVSP",2011,"Sep",58,3950,14.6835443037975
"265","CCI",2011,"Oct",27,5509,4.90107097476856
"266","COR",2011,"Oct",26,4990,5.21042084168337
"267","HDSP",2011,"Oct",33,4133,7.98451488023228
"268","KVSP",2011,"Oct",43,4629,9.28926333981421
"269","LAC",2011,"Oct",37,4322,8.56085145765849
"270","PBSP",2011,"Oct",12,3228,3.71747211895911
"271","SAC",2011,"Oct",43,2836,15.1622002820874
"272","SVSP",2011,"Oct",39,3982,9.79407332998493
"273","CCI",2011,"Nov",35,5236,6.68449197860963
"274","COR",2011,"Nov",28,4817,5.81274652273199
"275","HDSP",2011,"Nov",25,4057,6.16218880946512
"276","KVSP",2011,"Nov",26,4437,5.85981519044399
"277","LAC",2011,"Nov",40,3937,10.1600203200406
"278","PBSP",2011,"Nov",18,3215,5.59875583203732
"279","SAC",2011,"Nov",36,2827,12.7343473646976
"280","SVSP",2011,"Nov",55,3944,13.9452332657201
"281","CCI",2011,"Dec",27,5089,5.30556101395166
"282","COR",2011,"Dec",29,4797,6.04544506983531
"283","HDSP",2011,"Dec",20,4082,4.89955903968643
"284","KVSP",2011,"Dec",21,4368,4.80769230769231
"285","LAC",2011,"Dec",37,3851,9.6078940534926
"286","PBSP",2011,"Dec",22,3165,6.95102685624013
"287","SAC",2011,"Dec",30,2847,10.5374077976818
"288","SVSP",2011,"Dec",45,3955,11.378002528445
"289","CCI",2012,"Jan",20,4599,4.34877147205914
"290","COR",2012,"Jan",24,4566,5.25624178712221
"291","HDSP",2012,"Jan",34,3955,8.59671302149178
"292","KVSP",2012,"Jan",34,4336,7.84132841328413
"293","LAC",2012,"Jan",31,3583,8.65196762489534
"294","PBSP",2012,"Jan",26,3076,8.45253576072822
"295","SAC",2012,"Jan",33,2891,11.4147353856797
"296","SVSP",2012,"Jan",55,3934,13.9806812404677
