Institution,Year,Month,Use of Force,Inmate Count
HDSP,2013,Jun,21,3261
KVSP,2013,Jun,37,3685
LAC,2013,Jun,24,3679
PBSP,2013,Jun,18,2831
SAC,2013,Jun,35,2181
SATF,2013,Jun,16,5576
SVSP,2013,Jun,49,3487
CCI,2013,Jul,17,4568
COR,2013,Jul,23,4268
HDSP,2013,Jul,29,3287
KVSP,2013,Jul,42,3698
LAC,2013,Jul,38,3623
PBSP,2013,Jul,20,2820
SAC,2013,Jul,31,2237
SATF,2013,Jul,26,5634
SVSP,2013,Jul,58,3527
CCI,2013,Aug,24,4704
COR,2013,Aug,33,4342
HDSP,2013,Aug,25,3305
KVSP,2013,Aug,41,3725
LAC,2013,Aug,53,3659
PBSP,2013,Aug,14,2694
SAC,2013,Aug,27,2165
SATF,2013,Aug,25,5709
SVSP,2013,Aug,43,3520
CCI,2013,Sep,16,4731
COR,2013,Sep,21,4380
HDSP,2013,Sep,10,3334
KVSP,2013,Sep,34,3711
LAC,2013,Sep,24,3716
PBSP,2013,Sep,18,2716
SAC,2013,Sep,33,2097
SATF,2013,Sep,25,5790
SVSP,2013,Sep,29,3522
CCI,2013,Oct,15,4597
COR,2013,Oct,30,4409
HDSP,2013,Oct,14,3384
KVSP,2013,Oct,27,3719
LAC,2013,Oct,27,3790
PBSP,2013,Oct,16,2669
SAC,2013,Oct,28,2104
SATF,2013,Oct,14,5588
SVSP,2013,Oct,41,3473
CCI,2013,Nov,9,4433
COR,2013,Nov,25,4357
HDSP,2013,Nov,24,3314
KVSP,2013,Nov,17,3753
LAC,2013,Nov,40,3725
PBSP,2013,Nov,10,2663
SAC,2013,Nov,21,2182
SATF,2013,Nov,10,5510
SVSP,2013,Nov,36,3417
CCI,2013,Dec,20,4419
COR,2013,Dec,29,4353
HDSP,2013,Dec,14,3366
KVSP,2013,Dec,32,3741
LAC,2013,Dec,33,3697
PBSP,2013,Dec,6,2659
SAC,2013,Dec,34,2202
