,Institution,Year,Month,Use of Force
591,SQ,2016,Apr,7
592,SVSP,2016,Apr,38
593,VSPW,2016,Apr,3
594,WSP,2016,Apr,19
595,ASP,2017,Apr,2
596,CAC,2017,Apr,2
597,CAL,2017,Apr,23
598,CCC,2017,Apr,6
599,CCI,2017,Apr,35
600,CCWF,2017,Apr,25
601,CEN,2017,Apr,14
602,CHCF,2017,Apr,26
603,CIM,2017,Apr,7
604,CIW,2017,Apr,19
605,CMC,2017,Apr,16
606,CMF,2017,Apr,15
607,COR,2017,Apr,32
608,CRC,2017,Apr,4
609,CTF,2017,Apr,6
610,CVSP,2017,Apr,0
611,DVI,2017,Apr,7
612,FSP,2017,Apr,5
613,HDSP,2017,Apr,13
614,ISP,2017,Apr,6
615,KVSP,2017,Apr,24
616,LAC,2017,Apr,54
617,MCSP,2017,Apr,26
618,NKSP,2017,Apr,14
619,PBSP,2017,Apr,9
620,PVSP,2017,Apr,7
621,RJD,2017,Apr,18
622,SAC,2017,Apr,38
623,SATF,2017,Apr,12
624,SCC,2017,Apr,5
625,SOL,2017,Apr,9
626,SQ,2017,Apr,11
627,SVSP,2017,Apr,36
628,VSPW,2017,Apr,0
629,WSP,2017,Apr,20
630,ASP,2018,Apr,2
631,CAC,2018,Apr,2
632,CAL,2018,Apr,16
633,CCC,2018,Apr,11
634,CCI,2018,Apr,13
635,CCWF,2018,Apr,40
636,CEN,2018,Apr,10
637,CHCF,2018,Apr,22
638,CIM,2018,Apr,4
639,CIW,2018,Apr,11
640,CMC,2018,Apr,7
641,CMF,2018,Apr,12
642,COR,2018,Apr,45
643,CRC,2018,Apr,0
644,CTF,2018,Apr,2
645,CVSP,2018,Apr,1
646,DVI,2018,Apr,13
647,FSP,2018,Apr,9
648,HDSP,2018,Apr,23
649,ISP,2018,Apr,3
650,KVSP,2018,Apr,40
651,LAC,2018,Apr,41
652,MCSP,2018,Apr,22
653,NKSP,2018,Apr,17
654,PBSP,2018,Apr,12
655,PVSP,2018,Apr,14
656,RJD,2018,Apr,30
657,SAC,2018,Apr,52
658,SATF,2018,Apr,30
659,SCC,2018,Apr,5
660,SOL,2018,Apr,18
661,SQ,2018,Apr,12
662,SVSP,2018,Apr,54
663,VSPW,2018,Apr,2
664,WSP,2018,Apr,16
665,ASP,2019,Apr,7
666,CAC,2019,Apr,3
667,CAL,2019,Apr,18
668,CCC,2019,Apr,7
669,CCI,2019,Apr,40
670,CCWF,2019,Apr,40
671,CEN,2019,Apr,14
672,CHCF,2019,Apr,19
673,CIM,2019,Apr,3
674,CIW,2019,Apr,14
675,CMC,2019,Apr,16
676,CMF,2019,Apr,14
677,COR,2019,Apr,60
678,CRC,2019,Apr,4
679,CTF,2019,Apr,3
680,CVSP,2019,Apr,6
681,DVI,2019,Apr,12
682,FSP,2019,Apr,13
683,HDSP,2019,Apr,38
684,ISP,2019,Apr,9
685,KVSP,2019,Apr,57
686,LAC,2019,Apr,54
687,MCSP,2019,Apr,29
688,NKSP,2019,Apr,14
689,PBSP,2019,Apr,9
690,PVSP,2019,Apr,14
691,RJD,2019,Apr,20
692,SAC,2019,Apr,59
693,SATF,2019,Apr,24
694,SCC,2019,Apr,23
695,SOL,2019,Apr,15
696,SQ,2019,Apr,9
697,SVSP,2019,Apr,52
698,VSPW,2019,Apr,3
699,WSP,2019,Apr,19
700,ASP,2015,May,6
701,CAC,2015,May,3
702,CAL,2015,May,24
703,CCC,2015,May,14
704,CCI,2015,May,12
705,CCWF,2015,May,4
706,CEN,2015,May,14
707,CHCF,2015,May,17
708,CIM,2015,May,13
709,CIW,2015,May,13
710,CMC,2015,May,11
711,CMF,2015,May,5
712,COR,2015,May,40
713,CRC,2015,May,1
714,CTF,2015,May,2
715,CVSP,2015,May,0
716,DVI,2015,May,6
717,FSP,2015,May,5
718,HDSP,2015,May,24
719,ISP,2015,May,5
720,KVSP,2015,May,25
721,LAC,2015,May,33
722,MCSP,2015,May,26
723,NKSP,2015,May,15
724,PBSP,2015,May,11
725,PVSP,2015,May,6
726,RJD,2015,May,13
727,SAC,2015,May,58
728,SATF,2015,May,15
729,SCC,2015,May,8
730,SOL,2015,May,17
731,SQ,2015,May,9
732,SVSP,2015,May,36
733,VSPW,2015,May,2
734,WSP,2015,May,20
735,ASP,2016,May,2
736,CAC,2016,May,0
737,CAL,2016,May,26
738,CCC,2016,May,12
739,CCI,2016,May,24
740,CCWF,2016,May,18
741,CEN,2016,May,10
742,CHCF,2016,May,23
743,CIM,2016,May,3
744,CIW,2016,May,23
745,CMC,2016,May,16
746,CMF,2016,May,20
747,COR,2016,May,33
748,CRC,2016,May,6
749,CTF,2016,May,3
750,CVSP,2016,May,1
751,DVI,2016,May,10
752,FSP,2016,May,2
753,HDSP,2016,May,24
754,ISP,2016,May,6
755,KVSP,2016,May,34
756,LAC,2016,May,29
757,MCSP,2016,May,35
758,NKSP,2016,May,25
759,PBSP,2016,May,7
760,PVSP,2016,May,10
761,RJD,2016,May,26
762,SAC,2016,May,46
763,SATF,2016,May,21
764,SCC,2016,May,5
765,SOL,2016,May,9
766,SQ,2016,May,9
767,SVSP,2016,May,43
768,VSPW,2016,May,4
769,WSP,2016,May,21
770,ASP,2017,May,6
771,CAC,2017,May,1
772,CAL,2017,May,25
773,CCC,2017,May,8
774,CCI,2017,May,30
775,CCWF,2017,May,31
776,CEN,2017,May,7
777,CHCF,2017,May,16
778,CIM,2017,May,4
779,CIW,2017,May,4
780,CMC,2017,May,15
781,CMF,2017,May,15
782,COR,2017,May,40
783,CRC,2017,May,4
784,CTF,2017,May,2
785,CVSP,2017,May,0
786,DVI,2017,May,11
787,FSP,2017,May,6
788,HDSP,2017,May,18
789,ISP,2017,May,8
790,KVSP,2017,May,41
791,LAC,2017,May,48
792,MCSP,2017,May,23
793,NKSP,2017,May,16
794,PBSP,2017,May,11
795,PVSP,2017,May,8
796,RJD,2017,May,21
797,SAC,2017,May,53
798,SATF,2017,May,14
799,SCC,2017,May,5
800,SOL,2017,May,18
801,SQ,2017,May,19
802,SVSP,2017,May,33
803,VSPW,2017,May,4
804,WSP,2017,May,26
805,ASP,2018,May,5
806,CAC,2018,May,2
807,CAL,2018,May,12
808,CCC,2018,May,7
809,CCI,2018,May,31
810,CCWF,2018,May,34
811,CEN,2018,May,10
812,CHCF,2018,May,26
813,CIM,2018,May,7
814,CIW,2018,May,10
815,CMC,2018,May,14
816,CMF,2018,May,11
817,COR,2018,May,50
818,CRC,2018,May,5
819,CTF,2018,May,3
820,CVSP,2018,May,1
821,DVI,2018,May,6
822,FSP,2018,May,9
823,HDSP,2018,May,29
824,ISP,2018,May,5
825,KVSP,2018,May,49
826,LAC,2018,May,56
827,MCSP,2018,May,31
828,NKSP,2018,May,11
