Institution,Year,Month,Use of Force,Inmate Count
CCI,2011,Jul,36,5732
CEN,2011,Jul,14,4154
COR,2011,Jul,36,4876
HDSP,2011,Jul,46,4241
KVSP,2011,Jul,48,4718
MCSP,2011,Jul,18,3577
PBSP,2011,Jul,21,3212
SAC,2011,Jul,47,2837
SATF,2011,Jul,26,6378
SVSP,2011,Jul,43,3955
CIM,2011,Jul,29,6067
DVI,2011,Jul,28,3876
LAC,2011,Jul,40,4220
NKSP,2011,Jul,31,5159
RJD,2011,Jul,38,4378
SQ,2011,Jul,17,4819
WSP,2011,Jul,36,5737
CCI,2012,Jul,27,4685
COR,2012,Jul,28,4743
HDSP,2012,Jul,28,3729
KVSP,2012,Jul,53,4149
LAC,2012,Jul,39,3955
PBSP,2012,Jul,19,3153
SAC,2012,Jul,33,2684
SATF,2012,Jul,14,5531
SVSP,2012,Jul,40,3547
CCI,2013,Jul,17,4568
COR,2013,Jul,23,4268
HDSP,2013,Jul,29,3287
KVSP,2013,Jul,42,3698
LAC,2013,Jul,38,3623
PBSP,2013,Jul,20,2820
SAC,2013,Jul,31,2237
SATF,2013,Jul,26,5634
SVSP,2013,Jul,58,3527
CCI,2014,Jul,15,4408
COR,2014,Jul,20,4335
HDSP,2014,Jul,20,3343
KVSP,2014,Jul,24,3835
LAC,2014,Jul,37,3607
PBSP,2014,Jul,8,2821
SAC,2014,Jul,61,2231
SATF,2014,Jul,14,5412
SVSP,2014,Jul,24,3367
CAL,2009,Aug,21,4288
CEN,2009,Aug,12,4520
CMC,2009,Aug,9,6514
CMF,2009,Aug,8,2719
MCSP,2009,Aug,14,3747
PVSP,2009,Aug,22,5012
SATF,2009,Aug,12,6910
CCI,2009,Aug,18,5783
COR,2009,Aug,17,5367
HDSP,2009,Aug,30,4462
KVSP,2009,Aug,31,4697
PBSP,2009,Aug,16,3219
SAC,2009,Aug,35,2864
SVSP,2009,Aug,43,3692
CIM,2009,Aug,16,5208
DVI,2009,Aug,17,3927
LAC,2009,Aug,31,4686
NKSP,2009,Aug,29,5446
RJD,2009,Aug,27,4755
SQ,2009,Aug,16,5234
WSP,2009,Aug,39,6093
CCI,2010,Aug,13,5962
COR,2010,Aug,29,5154
HDSP,2010,Aug,37,4301
KVSP,2010,Aug,37,4381
PBSP,2010,Aug,14,3263
SAC,2010,Aug,29,2903
SVSP,2010,Aug,28,3730
CIM,2010,Aug,28,4245
DVI,2010,Aug,25,3867
LAC,2010,Aug,25,4504
NKSP,2010,Aug,34,5379
RJD,2010,Aug,37,4508
SQ,2010,Aug,20,5064
WSP,2010,Aug,34,5892
CAL,2010,Aug,14,4164
CEN,2010,Aug,16,4261
CMC,2010,Aug,17,6671
CMF,2010,Aug,11,2606
MCSP,2010,Aug,13,3764
PVSP,2010,Aug,19,4676
SATF,2010,Aug,29,6615
CAL,2011,Aug,22,4283
CCI,2011,Aug,31,5673
CEN,2011,Aug,12,4151
COR,2011,Aug,34,4888
HDSP,2011,Aug,33,4293
KVSP,2011,Aug,48,4699
MCSP,2011,Aug,13,3581
PBSP,2011,Aug,9,3262
SAC,2011,Aug,34,2820
SATF,2011,Aug,30,6326
SVSP,2011,Aug,54,3937
CIM,2011,Aug,20,6085
DVI,2011,Aug,27,3867
LAC,2011,Aug,46,4290
NKSP,2011,Aug,30,5100
RJD,2011,Aug,28,4395
SQ,2011,Aug,24,4641
WSP,2011,Aug,40,5689
CCI,2012,Aug,15,4764
COR,2012,Aug,33,4706
HDSP,2012,Aug,18,3684
KVSP,2012,Aug,48,4082
LAC,2012,Aug,28,3919
PBSP,2012,Aug,19,3139
SAC,2012,Aug,34,2654
SATF,2012,Aug,14,5536
SVSP,2012,Aug,37,3572
CCI,2013,Aug,24,4704
COR,2013,Aug,33,4342
HDSP,2013,Aug,25,3305
KVSP,2013,Aug,41,3725
LAC,2013,Aug,53,3659
PBSP,2013,Aug,14,2694
SAC,2013,Aug,27,2165
SATF,2013,Aug,25,5709
SVSP,2013,Aug,43,3520
CCI,2014,Aug,18,4482
COR,2014,Aug,29,4314
HDSP,2014,Aug,22,3437
KVSP,2014,Aug,31,3811
LAC,2014,Aug,44,3593
PBSP,2014,Aug,9,2857
SAC,2014,Aug,52,2216
SATF,2014,Aug,19,5383
SVSP,2014,Aug,41,3457
CAL,2009,Sep,26,4303
CEN,2009,Sep,17,4606
CMC,2009,Sep,14,6646
CMF,2009,Sep,19,2841
MCSP,2009,Sep,9,3769
PVSP,2009,Sep,17,4993
SATF,2009,Sep,23,6905
CCI,2009,Sep,26,5741
COR,2009,Sep,21,5264
HDSP,2009,Sep,26,4496
KVSP,2009,Sep,25,4752
PBSP,2009,Sep,14,3210
SAC,2009,Sep,27,2917
SVSP,2009,Sep,36,3585
CIM,2009,Sep,17,5471
DVI,2009,Sep,18,3905
LAC,2009,Sep,25,4729
NKSP,2009,Sep,17,5394
RJD,2009,Sep,29,4650
SQ,2009,Sep,17,5153
WSP,2009,Sep,35,5924
CCI,2010,Sep,20,5848
COR,2010,Sep,15,5109
HDSP,2010,Sep,39,4305
KVSP,2010,Sep,46,4581
PBSP,2010,Sep,13,3253
SAC,2010,Sep,33,2931
SVSP,2010,Sep,41,3770
CIM,2010,Sep,17,4745
DVI,2010,Sep,26,3816
LAC,2010,Sep,42,4484
NKSP,2010,Sep,24,5322
RJD,2010,Sep,51,4331
SQ,2010,Sep,20,5198
WSP,2010,Sep,26,5781
CAL,2010,Sep,13,4185
CEN,2010,Sep,20,4160
CMC,2010,Sep,19,6582
CMF,2010,Sep,8,2604
MCSP,2010,Sep,15,3742
PVSP,2010,Sep,32,4649
SATF,2010,Sep,17,6515
CAL,2011,Sep,29,4286
CCI,2011,Sep,28,5701
CEN,2011,Sep,16,4180
COR,2011,Sep,23,5005
HDSP,2011,Sep,29,4292
KVSP,2011,Sep,36,4684
MCSP,2011,Sep,21,3602
PBSP,2011,Sep,10,3272
SAC,2011,Sep,39,2851
SATF,2011,Sep,16,6380
SVSP,2011,Sep,58,3950
CIM,2011,Sep,18,5986
DVI,2011,Sep,28,3858
LAC,2011,Sep,28,4306
NKSP,2011,Sep,33,5037
RJD,2011,Sep,50,4311
SQ,2011,Sep,18,4631
WSP,2011,Sep,44,5765
CCI,2012,Sep,25,4768
COR,2012,Sep,27,4729
HDSP,2012,Sep,12,3614
KVSP,2012,Sep,34,3977
LAC,2012,Sep,47,3891
PBSP,2012,Sep,18,3101
SAC,2012,Sep,36,2654
SATF,2012,Sep,14,5577
SVSP,2012,Sep,29,3509
CCI,2013,Sep,16,4731
COR,2013,Sep,21,4380
HDSP,2013,Sep,10,3334
KVSP,2013,Sep,34,3711
LAC,2013,Sep,24,3716
PBSP,2013,Sep,18,2716
SAC,2013,Sep,33,2097
SATF,2013,Sep,25,5790
SVSP,2013,Sep,29,3522
CCI,2014,Sep,17,4482
COR,2014,Sep,32,4375
HDSP,2014,Sep,22,3474
KVSP,2014,Sep,28,3835
